"In a 20 mph collision, 4% of pedestrians die, 30 mph is 55%, and 40 mph is over 80%.","Guide for the Planning, Design, and Operation of Pedestrian Facilities",,,,AASHTO,,Cars
The avant-garde mistakes individualism (which is common) for creativity (which is rare).,,,,,Anonymous,,Modernism
The Nobel intends to honor those who have helped humanity; the Pritzker honors those who have insulted it.,reported by Kenneth Hitchens,,,,Anonymous,,Modernism
"In the combination of the New Urbanism and the Internet, American society can create on vast scale an entirely original social structure. What is their common ground? That together they overcome the tyranny of distance and the curse of isolation.",,,,,Anonymous,,New Urbanism
Placing surface parking lots in your downtowns is like placing a toilet in your living room.,,,,,Anonymous,,Parking
"A community has to have the capacity to envision a future they want, and not just the one they are likely to get.",,,,,Anonymous,,Planning
A specialist is someone who knows more and more about less and less until he knows absolutely everything about nothing at all.,,,,,Anonymous,,Specialist
A specialist is someone from out of town.,,,,,Anonymous,,Specialist
Suburbia is a collection of private benefits and public nuisances.,,,,,Anonymous,,Sprawl
A street is a spatial entity and not the residue between buildings.,,,,,Anonymous,,Thoroughfares
The suburb fails to be a countryside because it is too dense. It fails to be a city because it is not dense enough.,,,,,Anonymous,,Transect
"A teacher fills a bucket with big rocks and asks the students Is this bucket full? They all answer yes. Then she takes gravel from a pile hidden behind her desk and fills in around the big rocks until the bucket is full again. Now, with the same question, some students aren't quite so sure. She repeats the same with sand, and then with water. What's the lesson? she asks... The smaller stuff can always fit around the larger stuff, but if you don't put the big rocks in first, you'll never get them in.",,,,,Anonymous,,Wisdom
Viaggiare e vivere (To travel is to live),,,,,Anonymous,,Wisdom
Error illuminates the truth.,,,Thomas,,Aquinas,,Wisdom
The goal of the city is to make man happy and safe.,,,,,Aristotle,,City
All paid jobs absorb and degrade the mind.,,,,,Aristotle,,Wisdom
Downtown is the antidote for boredom.,,,Daniel,,Ashworth,,City
The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.,,,Isaac,,Asimov,,Change
"A leader is someone who cares enough to tell the people not merely what they want to hear, but what they need to know.",,,Reubin,,Askew,,Leadership
"Long before I was struck with cancer, I felt something stirring in American society. It was a sense among the people of the country—Republicans and Democrats alike—that something was missing from their lives, something crucial. I was trying to position the Republican Party to take advantage of it. But I wasn't exactly sure what ‘it’ was. My illness helped me to see that what was missing in society was what was missing in me: a little heart, a lot of brotherhood.... Love each other a little more, care about each other, and get away from that [dirty, negative] kind of politics.",,,Lee,,Atwater,(1951-1991),Community
"And so, as we closely consider each element of this very building [a bathhouse in a country villa], we cannot but be offended that we see one door off towards the side and the other placed almost in the middle but not quite in the middle. Obviously, in man-made things, an asymmetry of parts which lacks any compelling necessity for being that way seems to inflict a certain injury, as it were, on sight itself. On the other hand, the fact that the three windows inside--one in the middle, two on the sides--pour light onto the bath at equal intervals--how much that delights us who gaze upon it carefully and how much it takes the mind into itself, is a manifest thing not needing to be opened up for you with many words. This is why architects themselves are already calling this phenomenon by their own words 'reason' and they say that parts arranged disproportionately do not have 'reason.'",From De Ordine' (On Order),,,,Augustine,,Architecture
"For any given criticism of new urbanism, there exists an equal and corresponding criticism that makes exactly the opposite point.",,,Laurence,,Aurbach,,New Urbanism
"If a man will begin with certainties, he shall end in doubts; but if he will be content to begin with doubts he shall end in certainties.",,Sir,Francis,,Bacon,,Wisdom
"I love America more than any other country in this world, and, exactly for this reason, I insist on the right to criticize her perpetually.",,,James,,Baldwin,writer,Wisdom
All of the old-timers knew that subprime mortgages were what we called neutron loans: they killed the people and left the houses. The deals made in 2005 and 2006 were going to run into trouble because the credit pendulum at the time was stuck at easy.,,,Louis,S.,Barnes,"a partner at Boulder West, a mortgage banking firm",Development
No urban area will prosper unless it attracts those who can choose to live wherever they wish.,,,Jonathon,,Barnett,,City
"If car ownership is mandatory, [the place is] not urban.",,,Donald,,Baxter,,Sprawl
"In the desire to be collaborative, don't forget leadership. Don't be embarrassed to lead. There are too many efforts where it's all about 'getting everyone to the table.' Everyone goes away feeling good, but no one's doing anything.",,,Frank,H.,Beal,,Leadership
"In a quality city, a person should be able to live their entire life without a car, and not feel deprived.",,,Paul,,Bedford,,Cars
A good sustainability and quality of life indicator: The average amount of time spent in a car.,,,Paul,,Bedford,,Cars
Suburbanization is the biggest threat to cities in North America.,,,Paul,,Bedford,Toronto Planning Director,Sprawl
"Neighborhood activism is a path to political power in American cities today, and city halls are filled with former activists more sympathetic to the social agenda than to the physical agenda.",,,Steve,,Belmont,,Change
"Office development...pollutes land, air, and water as surely as industrial development once did. Office buildings pollute by generating vehicle traffic. A downtown office building well served by transit pollutes far less than a suburban office building accessible only by car.",,,Steve,,Belmont,,Sprawl
"On ineffective planners: They often tend to write trivial plans... lists of decisions that have already been taken. They defend their professional turf by inventing esoteric languages. They spend their energy in developing planning methodologies that are arcane and difficult to interpret. They often avoid complex choices, preferring to list alternatives and to provide large volumes of data without facing the need for choices...They invent names and functions for planning and often protect themselves by routinizing planning. Planning becomes bureaucratic, data are collected, analysis takes place routinely, and no one seems to have much to say about the usefulness of these planning efforts except those who carry them out... They overemphasize the professional sanctity of their craft.",,,G.,,Beneveniste,,Planning
"The rigid, isolated object is of no use whatsoever. It must be inserted into the context of living social relations.",,,Walter,,Benjamin,,Codes
"If they say it can't be done, it doesn't always work out that way.",,,Yogi,,Berra,,Change
Nobody goes there anymore. It's too crowded.,,,Yogi,,Berra,,Community
What gets us into trouble isn't what we don't know; its what we know for sure that just ain't so.,,,Yogi,,Berra,,Wisdom
All cars are getaway cars.,,,Ross,,Best,,Cars
Planning must make a difference and that difference must be worthwhile.,,,Guy,,Bienveniste,,Planning
"In our egalitarian democracy we have just about empowered a branch of the government, the FHA, to specify the size and shape of the typical American suburban master bedroom in which all Americans are thus created equal.",,,Peter,,Blake,,Smallness
"One of these days I'll get around to making the case that today's highbrow-architecture scene is well understood as something akin to the high-end women's-fashion world. Both fields specialize in the creation of brittle, hysterical whimsies that are sometimes amusing in snobbish and absurd ways. Little harm is done when such productions are fodder for the pages of Vogue, and when they're understood to serve fantasy purposes. But what kind of person would impose high-strung, soon-to-fall- out-of-fashion craziness on our public realm?",,,Michael,,Blowhard,,Architecture
"The most destructive force I continue to see is the grafting of suburban types... building-lot configurations, street types, landscaping, public works, open space... onto urban settings. This has fueled the destruction of the city as well as frustrated the construction of new urban places.",,,Chuck,,Bohl,,Sprawl
Anti-transgressive art is one committed to the construction of criteria rather than the breaking of taboos.,,,Christian,,Boltanski,,Change
"Bureaucracies to be effective must move slowly and deliberately, in the manner of planets and vegetables.",,,Jorge,Luis,Borges,,Change
"It is the adaptable, not the well-adapted who survive.",,,Ken,,Boulding,,Sustainability
"Look, I don't do marketing studies. If I do good looking architecture that makes a great place, I figure somebody will buy it.",,,Nate,,Bowman,Developer,New Urbanism
My target market is intelligent people.,,,Nate,,Bowman,Developer,New Urbanism
NIMBY reactionaries don't stop change in the long run. They simply help to insure that it happens in the worst possible way.,,,David,,Brain,,Change
"Those who buy into the suburbs because they want to be close to nature are going to keep doing so. The point of parks in cities is not to satisfy that urge, but to make better urbanism for those who want real urbanism.",,,David,,Brain,,Sprawl
"Because things are the way they are, things will not stay the way they are.",,,Bertolt,,Brecht,,Change
In civilized countries there are no fashions: it is an honor to resemble the models.,"Things Which Pass, 1925",,Bertolt,,Brecht,,Style
Who cares what Eisenman's or for a matter of fact what any architect's artistic or religious beliefs are? They would only be of interest if the work was of interest and more often then not architects like Eisenman try to substitute ideology for architecture.,,,Gary,,Brewer,,Architecture
"As long as the world is turning and spinning, we're gonna be dizzy and we're gonna make mistakes.",,,Mel,,Brooks,,Wisdom
"The most intrinsically green buildings are those that already exist. This is because constructing a new building consumes 15 to 30 times the building's annual energy use. Reusing it after its original purpose is obsolete makes an old building even greener, because the new purpose does not require a new building ...",,,David,,Brussat,,Sustainability
Appropriate architecture and urban design should be to the extent that you make people feel at home.,,,John,M.,Bryan,,Architecture
"Americans are broad-minded people. They'll accept the fact that a person can be an alcoholic, a dope fiend, a wife beater, and even a newspaperman, but if a man doesn't drive there's something wrong with him.",,,Art,,Buchwald,,Cars
Cars are happiest when there are no other cars around. People are happiest when there are other people around.,,,Dan,,Burden,,Cars
Automobiles need quantity and pedestrians need quality.,,,Dan,,Burden,,Walkability
"As individuals we are weak & foolish, as a society we are wise and powerful.",,,Edmund,,Burke,,Community
"We must not build housing, we must build communities.",,,Mike,,Burton,,Community
"The world is being forced, not in 10 years but today, to choose between feeding people and feeding cars.",,,Ernest,,Callenbach,,Cars
"The second shortest code in the world: Diverse, walkable and compact.",,,Peter,,Calthorpe,,Planning
Architecture is the art of making places.,,,Robert,,Campbell,,Architecture
Freedom is not constituted primarily of privileges but of responsibilities,,,Albert,,Camus,,Wisdom
The universe is but one vast Symbol of God.,,,Thomas,,Carlyle,,Wisdom
"Nature is an unlimited broadcasting station, through which God speaks to us every hour, if we only will tune in.",,,George,Washington,Carver,1864-1943,Environment
I found that when I talk to the little flower or to the little peanut they will give up their secrets...,,,George,Washington,Carver,,Wisdom
You either have rules or you have anarchy; and the enforcement of rules requires a hierarchy.,,,John,,Casbarian,,Codes
Anyplace worth its salt has a 'parking problem'.,,,James,,Castle,,Parking
"If the city is not well designed, its impact on the surrounding nature will be lethal.",,,Javier,,Cenicacelaya,,Environment
"Planning of the automobile city focuses on saving time. Planning for the accessible city, on the other hand, focuses on time well spent.",,,Robert,,Cervero,,Cars
The food would have to be pretty horrible for this not to be a perfect lunch.,sitting down in a Roman piazza,,Buff,,Chace,,City
"Bicyclists should expect and demand safe accommodation on every public road, just as do all other users. Nothing more is expected. Nothing less is acceptable.",,,,,Chainguard.com,,Transportation
"It seems to be becoming harder and harder in this age to stick to what we believe—or feel. We are told constantly that we have to live in the real world--but the real world is within us. The reality is that Truth, Goodness and Beauty in the outer, manifested world are only made possible through the inner, invisible pattern—the unmanifested archetype.",,,Charles,,Prince of Wales,,Wisdom
"For far too long, it seems to me, some planners and architects have consistently ignored the feelings and wishes of the mass of ordinary people in this country.","at the 150th anniversary dinner of the Royal Institute of British Architects, Hampton Court, May 30, 1984",,Charles,,Prince of Wales,,Wisdom
To be concerned about the way people live; about the environment they inhabit and the kind of community that is created by that environment should surely be one of the prime requirements of a really good architect.,"at the 150th anniversary dinner of the Royal Institute of British Architects, Hampton Court, May 30, 1984",,Charles,,Prince of Wales,,Architecture
"It would be a tragedy if the character and skyline of our capital city were to be further ruined and St Paul's dwarfed by yet another giant glass stump, better suited to downtown Chicago than the City of London.","commenting on a plan for the National Gallery extension, later replaced",,Charles,,Prince of Wales,,Architecture
... what is proposed is like a monstrous carbuncle on the face of a much loved and elegant friend.,"commenting on a plan for the National Gallery extension, later replaced",,Charles,,Prince of Wales,,Architecture
"You have to give this much to the Luftwaffe. When it knocked down our buildings, it didn't replace them with anything more offensive than rubble.","at the Corporation of London Planning and Communication Committee's annual dinner at the Mansion House on December 1, 1987",,Charles,,Prince of Wales,,Architecture
"What, then, have we done to it since the bombing? In the space of a mere 15 years, ... the planners, architects and developers of the City wrecked the London skyline and desecrated the dome of St Paul's.","at the Corporation of London Planning and Communication Committee's annual dinner at the Mansion House on December 1, 1988",,Charles,,Prince of Wales,,Architecture
"Everywhere I go, it is one of the things people complain about most and, if there is one message I would like to deliver this evening, in no uncertain terms, it is that large numbers of us in this country are fed up with being talked down to and dictated to by the existing planning, architectural and development establishment.","at the Corporation of London Planning and Communication Committee's annual dinner at the Mansion House on December 1, 1989",,Charles,,Prince of Wales,,Architecture
"Surely here, if anywhere, was the time and place to sacrifice some profit, if need be, for generosity of vision, for elegance, for dignity; for buildings which would raise our spirits and our faith in commercial enterprise and prove that capitalism can have a human face, instead of that of a robot or word processor. On such a site (Paternoster Square, next to St Paul's Cathedral), market forces, I would suggest, are not enough.","at the Corporation of London Planning and Communication Committee's annual dinner at the Mansion House on December 1, 1990",,Charles,,Prince of Wales,,Architecture
"I would like to see architects working with artists and craftsmen, showing that pleasure and delight are indeed returning to architecture after their long exile.","at the Corporation of London Planning and Communication Committee's annual dinner at the Mansion House on December 1, 1991",,Charles,,Prince of Wales,,Architecture
"What, after all, is architecture for? Or rather, who is it for? The answer now - as we approach the 21st century - it seems to me to be the same as it has always been. It is for human beings.","to the American Institute of Architects, Washington, February 22, 1990.",,Charles,,Prince of Wales,,Architecture
"The time has surely now arrived when we must learn to work with rather than against Nature; when we can once again make places in which we can not only have our being, but enrich our perception of what our being really is.","to the American Institute of Architects, Washington, February 22, 1991",,Charles,,Prince of Wales,,Architecture
It has been said to me that property developers are the 'Medici of the 20th century'. Where then is our Florence? And why is a great city like London seen by our 'Medici' as merely a financial staging post between New York and Tokyo?,"to the American Institute of Architects, Washington, February 22, 1992",,Charles,,Prince of Wales,,Architecture
Somewhere along the line the education of architects has abandoned this sensitivity to the basic feelings of the ordinary citizen. But that is another story - and contained in a speech yet to come...!,"to the American Institute of Architects, Washington, February 22, 1993",,Charles,,Prince of Wales,,Architecture
It has taken 50 years to destroy the accumulated wisdom of thousands of years. So I am quite prepared for it to take at least as long to rebuild it - even if I have to be a taxidermist in order to see it through!,"The Prince of Wales's Summer School in Civil Architecture, Villa Lante, Italy, September 13, 1991",,Charles,,Prince of Wales,,Wisdom
"I didn't particularly want to see this country, which I mind about and love greatly - and nor do a lot of other people - disappear under a welter of ugliness.","talking to The Prince's biographer David Dimbleby in the 1994 ITV documentary Charles: The Private Man, The Public Role",,Charles,,Prince of Wales,,Wisdom
"While I am thoroughly in favour of an avant garde generally, what I do not think is successful in the long run, and right, is when the avant garde becomes the establishment. And that is what has happened, I believe, not only in architectural terms but in many other areas as well.","talking to The Prince's biographer David Dimbleby in the 1994 ITV documentary Charles: The Private Man, The Public Role",,Charles,,Prince of Wales,,Wisdom
Tradition is innovation that succeeded,,,Pier,Carlo,Bontempi,,Tradition
"My new Foundation will be modern, but not modernist. It will not tolerate pastiche, but neither will it deny the past or celebrate the brash megalomania which sometimes masquerades as creative design. It continues to be my view that the best of modernity flows from the best of tradition.","An article by The Prince in The Spectator, on August 5, 1998, announcing that he was setting up a new charitable organisation, The Prince of Wales's Foundation for Architecture and the Urban Environment",,Charles,,Prince of Wales,,Wisdom
"It's time for a reconsideration -- something like what architects call a post-occupancy evaluation, which looks at how a building is working for people in everyday use. This one, however, won't rag on the library's already well-documented functional shortcomings, such as the unwieldy and baffling vertical traffic flow. Instead, we'll venture into a region few architects know how to talk about: how a building feels. This one feels, in varying places, raw, confusing, impersonal, uncomfortable, oppressive, theatrical and exhilarating. Ponder any spot in this vast building, and two, three or more of those adjectives inevitably swirl together. That's the first indicator of trouble. If this building were fulfilling the showers of acclaim heaped onto it, all we'd be talking about is joy. This library, incredibly, is an uncomfortable place to read....","Seattle Post-Intelligencer, on the Koolhaas library",,Lawrence,,Cheek,,Modernism
How big can we get before we get bad?,,,Jay,,Chiat,,Smallness
"Convivial towns can offer solace in disaster, solidarity in protest, and a quiet everyday delight in urban life...Creating and revitalizing places that foster conviviality is essential to the good life.",,,Mark,C.,Childs,,Community
"I'll tell you what I want for Christmas. I want the Planning Commission and the mayor and the county Legislature and the county executive and all our decision makers to get on a plane and go to Charleston, S.C. I want them to walk around and see why that city works, and what can be done with wonderful planning, and how developers... if you do it right... won't run away.",,,Lonnie,,Chu,"Civic activist, Syracuse NY",Planning
People say that they do not want to live near where they work; but that they would like to work near where they live.,,,Zev,,Cohen,,Community
"Vancouver killed the freeway because they didn't want the freeways to kill their neighborhoods. The city flourished because making it easier to drive does not reduce traffic; it increases it. That means if you don't waste billions of dollars building freeways, you actually end up with less traffic.",,,Rick,,Cole,,Connectivity
"When we build our landscape around places to go, we lose places to be.",,,Rick,,Cole,,Transportation
"Increasingly, we live in a world where cities compete for people, and businesses follow. This trend has largely been ignored by many cities, which are still focused on business climate and tax incentives. But I think the big question businesses will ask in the years to come is going to be 'Can I hire talented people in this city?' Cities need to be able to answer 'yes' to succeed.",,,Carol,,Coletta,President and CEO of CEOs for Cities.,City
The city of Cartagena is as comfortable as an old shoe.,,,From a,,Colombian poem,,Planning
We have a military policy instead of an energy policy.,,,Barry,,Commoner,,Sustainability
Charrettes are what you do until sanity prevails again.,,,Patrick,,Condon,,Public Process
"Density and environmental protection are not incompatible. If they are, we are in very deep trouble.",,,Patrick,,Condon,,Sustainability
"We have too much legislation by clamor, by tumult, and by pressure.",,,Calvin,,Coolidge,,Change
Elected officials. community leaders and intellectuals must cese encouraging the untenable belief that there is an inherent American right not to be offended.,,,John,M.,Coski,,Leadership
"If something comes to life in others because of you, then you have made an approach to immortality.",,,Norman,,Cousins,,Wisdom
"Just as there is no loss of basic energy in the universe, so no thought or action is without its effects, present or ultimate, seen or unseen, felt or unfelt.",,,Norman,,Cousins,,Wisdom
"From the classic point of view, the study of design is the most salutary discipline possible in this too naturalistic age. If I could have my way in the training of young artists, I should insist upon their spending a good deal of time in the study and designing of pure ornament [so] that they might learn how independent fine design is of its content and how slight may be the connection between art and nature.",The Classic Point of View,,Kenyon,,Cox,,Design
I have offended God and mankind because my work did not reach the quality it should have,,,Leonardo,,da Vinci,,Design
"Human subtlety will never devise an invention more beautiful, more simple, or more direct than does Nature.",,,Leonardo,,da Vinci,,Design
"It is not the strongest of the species that survive, nor the most intelligent, but the one most responsive to change.",,,Charles,,Darwin,,Change
Ignorance more frequently begets confidence than knowledge.,,,Charles,,Darwin,,Wisdom
Progress in every age results only from the fact that there are some men and women who refuse to believe that what they know to be right cannot be done.,,,Russel,W.,Davenport,,Change
"We complain that the streets of the urban peripheries are boring, that they do not offer the same opportunities for encounter, exchange, curiosity, attention, offered by the streets of the historic centers. It is not surprising, as the streets of the historic centers were made for the motion of human beings whereas the streets of the periphery have been made for the motion of automobiles.",The Contemporary Town,,Giancarlo,,De Carlo,,Thoroughfares
We are not human beings having a spiritual experience. We are spiritual beings having a human experience.,,,Pierre,Teilhard,de Chardin,,Wisdom
"Fortunately, the past never completely dies for man. Man may forget it, but he always preserves it within him. For, take him at any epoch, and he is the product, the epitome, of all the earlier epochs. Let him look into his own soul, and he can find and distinguish these different epochs by what each has left within him.",The Ancient City,,Fustel,,de Coulanges,,History
Nothing looks so dated as yesterday's vision of the future.,,,Christian,,De Quincey,,Modernism
"If you are driving an hour and a half each way for thirty years, the consequences don’t catch up with you at 32, they catch up in your early 50’s.",,,Jerry,,Deffenbacher,"Professor of Psychology, Colorado State University",Sprawl
"There is a specific kind of American dimness: the cult of expertise, which, by its very nature, blinds the person who practices it to every form of knowledge save the one that he understands.",,,David,,Denby,,Specialist
New Urbanism = Universal Principles calibrated locally.,,,Bill,,Dennis,,New Urbanism
What Windsor shows us is that the rich can be convinced to live in urbanism.,,,Bill,,Dennis,,Urbanism
Government is to the state what language is to thought; it not only communicates the purpose of the state; but in so doing gives them for the first time articulation and generality.,,,John,,Dewey,,Government
The soul should always stand ajar. Ready to welcome the ecstatic experience.,,,Emily,,Dickinson,,Wisdom
The greatest of all evils is a weak government.,,,Benjamin,,Disraeli,,Government
"The wisdom of the wise, and the experience of ages, may be preserved by quotation.",,,Benjamin,,Disraeli,,Wisdom
"A revolution can sweep clean, but a reformation can point forward and backward at the same time.",,,Eugenio,,Donato,,Tradition
People yearning for community are like people at a party who crowd into the kitchen because they like it.,,,Bruce,,Donnelly,,Community
"Organic simplicity depends upon feedback loops (both balancing and reinforcing). Mechanical simplicity tries to stop those loops from happening, and eventually fails. That's why politics is so important. Think of evolution as a feedback process, and then think of politics as an instance of frustrated evolution.",,,Bruce,,Donnelly,,Simplicity
"...if someone charges that the New Urbanism is about hating cars, we can say no, that it is only when convenient walking and convenient driving conflict that we place the pedestrian above the driver; where they do not conflict, there is no dilemma.",,,Bruce,,Donnelly,,Walkability
"Tradition is reverse engineering, isn't it?",,,John,,Doune,,Tradition
The smallest molecule of mixed use is the Coke machine. I observed that when one that had been installed for construction workers in an alley at Port Royal was preserved at the petition of the residents.,,,Victor,,Dover,,City
"The law of unintended consequences teaches us that regulations ought to be minimal, restricted to things that are really important (and therefore rarely negotiable). Imagine if Moses' tablets for the Ten Commandments came with instructions that said, 'Conformance with seven out of ten will be considered compliance overall.' Too few would choose to follow commandment #7, I bet, if they could get by with fewer than all ten and got to decide to which they'll adhere. Put another way: which amendment in the Bill of Rights should presidents be allowed to deem optional, if their overall score is mostly OK?",,,Victor,,Dover,,Government
"Parking is a narcotic and ought to be a controlled substance. It is addictive, and one can never have enough.",,,Victor,,Dover,,Parking
"American communities require that new housing meet quality requirements that are very high by world or even Western European and Japanese standards. These requirements are designed by middle-class architects, planners, and citizens in conformity with what they believe is decent housing. But their concept of decency far surpasses what is necessary for human health and safety. Consequently, all new American dwellings are too costly for low-income people to occupy without direct subsidies. But subsidies are provided for only a few of the many households with incomes low enough to be eligible for them. So poor people live in unsubsidized older dwellings.",,,Anthony,,Downs,,Affordable Housing
"In Houston, a person walking is someone on his way to his car.",,,Anthony,,Downs,,Cars
To most Americans the cures for traffic congestion are worse than the congestion itself.,,,Anthony,,Downs,,Cars
"[Democracies] have great difficulty solving the long-run problems created by policies that provide short-term benefits. Once people receive the benefits, they do not want to give them up.",,,Anthony,,Downs,,Government
Regional growth patterns require regional governance.,,,Anthony,,Downs,,Planning
We're having a terrible affordable housing problem in this country. How can we deliver affordable housing when we keep gold-plating the standards?,,,Andrés,,Duany,,Affordable Housing
"The Department of Transportation, in its single-minded pursuit of traffic flow, has destroyed more American towns than General Sherman.",,,Andrés,,Duany,,Cars
It is NOT the inaugural condition that is the determinant of a town that is decisive: it is the ability to molt that is important.,,,Andrés,,Duany,,Change
"With infill, start by providing for those who are not risk-averse (singles, Bohemians, etc.). These people are the urban pioneers.",,,Andrés,,Duany,,Change
We cannot evolve unless mutations occur.,,,Andrés,,Duany,,Change
Not changing is an excellent way to change things in interesting and useful ways.,on successional urbanism,,Douglas,,Duany,,Change
"In 1860, the capital city of Washington, with a population of 60,000, had unlighted streets, open sewers, and pigs roaming about its principal avenues. This condition was worse than the worst of our current cities. There is hope.",,,Andrés,,Duany,,City
Anchorage is the most awful place. All people know is that nature is beautiful; and they do not give a thought to the city they inhabit.,,,Douglas,,Duany,,City
"Suburban Codes attempt to impose order, Neotraditional Codes avoid disorder.",,,Andrés,,Duany,,Codes
Affordable housing was inadvertently eliminated by suburban codes.,,,Andrés,,Duany,,Codes
In the suburbs you have backyard decks; in towns you have porches on the street.,,,Andrés,,Duany,,Community
The subdivisions of suburbia are conceived as a shopping centers for housing and only later (if at all) as communities.,,,Andrés,,Duany,,Community
Higher density housing offers an inferior lifestyle only when it is without a community as its setting.,,,Andrés,,Duany,,Community
"Do you only have ancestors, or are you also going to be an ancestor?",,,Andrés,,Duany,,Environment
The loss of a forest or a farm is justified only if it is replaced by a village. To replace them with a subdivision or a shopping center is not an even trade.,,,Andrés,,Duany,,Environment
"Buried in berms, clad in weathered wood and weak in form, the buildings of suburban Hilton Head are promoted as ecological. But they are only apologizing (quite correctly) for their own existence. The compact neighborhood is the true architecture of nature.",,,Andrés,,Duany,,Environment
The only thing that I remember about Mumford (I read The City in History in 1970) is that Medieval girls would run naked through the streets to the public baths. I can still find that reference. That was memorable.,,,Andrés,,Duany,,History
"Adlai Stevenson said When I feel the heat, I see the light. We must apply a rude and relentless heat to planners and engineers, slumbering in the dimcomfort of their profession.",,,Andrés,,Duany,,Law
We have legislators who think it their duty only to listen to the people instead of becoming expert on the subjects which they must decide upon.,,,Andrés,,Duany,,Leadership
"Art, in a democracy, should be valued, not by an elite, but by the marketplace.",,,Andrés,,Duany,,Marketing
